Pathway identifier,Pathway name,#Entities found,#Entities total,Entities ratio,Entities pValue,Entities FDR,#Reactions found,#Reactions total,Reactions ratio,Control_S1_counts,Species identifier,Species name,Submitted entities found,Mapped entities,Found reaction identifiers
R-HSA-156842,"Eukaryotic Translation Elongation",79,102,0.006525911708253359,1.2094191113249502E-25,1.492755143507389E-22,9,9,6.0E-4,-2.0,9606,Homo sapiens,"ENSG00000108107;ENSG00000213741;ENSG00000110700;ENSG00000142937;ENSG00000114942;ENSG00000156508;ENSG00000177600;ENSG00000171863;ENSG00000163682;ENSG00000142541;ENSG00000197728;ENSG00000171858;ENSG00000170889;ENSG00000105193;ENSG00000109475;ENSG00000167526;ENSG00000125691;ENSG00000138326;ENSG00000115268;ENSG00000136942;ENSG00000197958;ENSG00000168028;ENSG00000149806;ENSG00000233927;ENSG00000144713;ENSG00000137154;ENSG00000166441;ENSG00000221983;ENSG00000231500;ENSG00000143947;ENSG00000108298;ENSG00000162244;ENSG00000167658;ENSG00000164587;ENSG00000122026;ENSG00000142534;ENSG00000149273;ENSG00000182899;ENSG00000198242;ENSG00000131469;ENSG00000145592;ENSG00000134419;ENSG00000112306;ENSG00000104529;ENSG00000197756;ENSG00000130255;ENSG00000229117;ENSG00000174748;ENSG00000089009;ENSG00000140988;ENSG00000063177;ENSG00000156482;ENSG00000172809;ENSG00000105372;ENSG00000148303;ENSG00000188846;ENSG00000137818;ENSG00000198034;ENSG00000118181;ENSG00000008988;ENSG00000174444;ENSG00000083845;ENSG00000198755;ENSG00000177954;ENSG00000071082;ENSG00000170315;ENSG00000145425;ENSG00000147604;ENSG00000114391;ENSG00000100316;ENSG00000185088;ENSG00000122406;ENSG00000089157;ENSG00000147403;ENSG00000142676;ENSG00000161016;ENSG00000105640","","R-HSA-156930;R-HSA-156915;R-HSA-156912;R-HSA-156913;R-HSA-156923;R-HSA-156907;R-HSA-156910;R-HSA-156908;R-HSA-156909"
R-HSA-156902,"Peptide chain elongation",77,97,0.0062060140754958415,1.664164039584603E-25,1.492755143507389E-22,5,5,3.333333333333333E-4,-2.0,9606,Homo sapiens,"ENSG00000108107;ENSG00000213741;ENSG00000110700;ENSG00000142937;ENSG00000156508;ENSG00000177600;ENSG00000171863;ENSG00000163682;ENSG00000142541;ENSG00000197728;ENSG00000171858;ENSG00000170889;ENSG00000105193;ENSG00000109475;ENSG00000167526;ENSG00000125691;ENSG00000138326;ENSG00000115268;ENSG00000136942;ENSG00000197958;ENSG00000168028;ENSG00000149806;ENSG00000233927;ENSG00000144713;ENSG00000137154;ENSG00000166441;ENSG00000221983;ENSG00000231500;ENSG00000143947;ENSG00000108298;ENSG00000162244;ENSG00000167658;ENSG00000164587;ENSG00000122026;ENSG00000142534;ENSG00000149273;ENSG00000182899;ENSG00000198242;ENSG00000131469;ENSG00000145592;ENSG00000134419;ENSG00000112306;ENSG00000197756;ENSG00000130255;ENSG00000229117;ENSG00000174748;ENSG00000089009;ENSG00000140988;ENSG00000063177;ENSG00000156482;ENSG00000172809;ENSG00000105372;ENSG00000148303;ENSG00000188846;ENSG00000137818;ENSG00000198034;ENSG00000118181;ENSG00000008988;ENSG00000174444;ENSG00000083845;ENSG00000198755;ENSG00000177954;ENSG00000071082;ENSG00000170315;ENSG00000145425;ENSG00000147604;ENSG00000114391;ENSG00000100316;ENSG00000185088;ENSG00000122406;ENSG00000089157;ENSG00000147403;ENSG00000142676;ENSG00000161016;ENSG00000105640","","R-HSA-156930;R-HSA-156915;R-HSA-156912;R-HSA-156923;R-HSA-156907"
R-HSA-72689,"Formation of a pool of free 40S subunits",88,106,0.006781829814459373,3.3399134268911477E-25,1.9578993103447828E-22,2,2,1.3333333333333334E-4,-2.0,9606,Homo sapiens,"ENSG00000108107;ENSG00000213741;ENSG00000110700;ENSG00000142937;ENSG00000177600;ENSG00000171863;ENSG00000163682;ENSG00000142541;ENSG00000197728;ENSG00000171858;ENSG00000170889;ENSG00000105193;ENSG00000109475;ENSG00000167526;ENSG00000147677;ENSG00000125691;ENSG00000178982;ENSG00000138326;ENSG00000115268;ENSG00000136942;ENSG00000197958;ENSG00000168028;ENSG00000149806;ENSG00000233927;ENSG00000144713;ENSG00000137154;ENSG00000166441;ENSG00000221983;ENSG00000231500;ENSG00000143947;ENSG00000108298;ENSG00000162244;ENSG00000164587;ENSG00000104131;ENSG00000122026;ENSG00000175390;ENSG00000142534;ENSG00000149273;ENSG00000182899;ENSG00000198242;ENSG00000131469;ENSG00000130811;ENSG00000145592;ENSG00000134419;ENSG00000112306;ENSG00000104408;ENSG00000197756;ENSG00000130255;ENSG00000229117;ENSG00000174748;ENSG00000100129;ENSG00000089009;ENSG00000140988;ENSG00000063177;ENSG00000156482;ENSG00000106263;ENSG00000172809;ENSG00000105372;ENSG00000148303;ENSG00000188846;ENSG00000137818;ENSG00000149100;ENSG00000198034;ENSG00000118181;ENSG00000008988;ENSG00000174444;ENSG00000083845;ENSG00000198755;ENSG00000173674;ENSG00000177954;ENSG00000071082;ENSG00000170315;ENSG00000145425;ENSG00000084623;ENSG00000147604;ENSG00000114391;ENSG00000100316;ENSG00000185088;ENSG00000122406;ENSG00000107581;ENSG00000089157;ENSG00000147403;ENSG00000100353;ENSG00000142676;ENSG00000161016;ENSG00000105640","","R-HSA-72673;R-HSA-72676"
R-HSA-2408557,"Selenocysteine synthesis",77,112,0.007165706973768394,4.365438819051913E-25,1.9578993103447828E-22,3,7,4.6666666666666666E-4,-2.0,9606,Homo sapiens,"ENSG00000108107;ENSG00000213741;ENSG00000110700;ENSG00000142937;ENSG00000177600;ENSG00000171863;ENSG00000163682;ENSG00000142541;ENSG00000197728;ENSG00000171858;ENSG00000170889;ENSG00000105193;ENSG00000109475;ENSG00000167526;ENSG00000125691;ENSG00000138326;ENSG00000115268;ENSG00000136942;ENSG00000197958;ENSG00000168028;ENSG00000149806;ENSG00000233927;ENSG00000144713;ENSG00000137154;ENSG00000166441;ENSG00000221983;ENSG00000231500;ENSG00000143947;ENSG00000108298;ENSG00000162244;ENSG00000164587;ENSG00000122026;ENSG00000142534;ENSG00000149273;ENSG00000182899;ENSG00000198242;ENSG00000131469;ENSG00000145592;ENSG00000134419;ENSG00000112306;ENSG00000197756;ENSG00000130255;ENSG00000229117;ENSG00000174748;ENSG00000089009;ENSG00000140988;ENSG00000063177;ENSG00000156482;ENSG00000172809;ENSG00000105372;ENSG00000148303;ENSG00000188846;ENSG00000137818;ENSG00000198034;ENSG00000118181;ENSG00000008988;ENSG00000174444;ENSG00000083845;ENSG00000198755;ENSG00000177954;ENSG00000071082;ENSG00000170315;ENSG00000145425;ENSG00000147604;ENSG00000114391;ENSG00000100316;ENSG00000185088;ENSG00000122406;ENSG00000187742;ENSG00000089157;ENSG00000147403;ENSG00000031698;ENSG00000142676;ENSG00000161016;ENSG00000105640","","R-HSA-2408529;R-HSA-2408526;R-HSA-5333615"
R-HSA-72764,"Eukaryotic Translation Termination",79,106,0.006781829814459373,6.567729583033271E-25,2.3565013743923373E-22,5,5,3.333333333333333E-4,-2.0,9606,Homo sapiens,"ENSG00000108107;ENSG00000213741;ENSG00000110700;ENSG00000142937;ENSG00000120705;ENSG00000177600;ENSG00000171863;ENSG00000163682;ENSG00000142541;ENSG00000197728;ENSG00000171858;ENSG00000170889;ENSG00000105193;ENSG00000109475;ENSG00000167526;ENSG00000125691;ENSG00000138326;ENSG00000115268;ENSG00000136942;ENSG00000197958;ENSG00000168028;ENSG00000149806;ENSG00000233927;ENSG00000144713;ENSG00000164062;ENSG00000137154;ENSG00000166441;ENSG00000221983;ENSG00000231500;ENSG00000143947;ENSG00000108298;ENSG00000162244;ENSG00000164587;ENSG00000122026;ENSG00000142534;ENSG00000149273;ENSG00000182899;ENSG00000198242;ENSG00000131469;ENSG00000145592;ENSG00000134419;ENSG00000112306;ENSG00000197756;ENSG00000130255;ENSG00000229117;ENSG00000174748;ENSG00000089009;ENSG00000140988;ENSG00000063177;ENSG00000156482;ENSG00000172809;ENSG00000105372;ENSG00000148303;ENSG00000188846;ENSG00000137818;ENSG00000198034;ENSG00000118181;ENSG00000008988;ENSG00000174444;ENSG00000083845;ENSG00000198755;ENSG00000173113;ENSG00000177954;ENSG00000071082;ENSG00000170315;ENSG00000145425;ENSG00000147604;ENSG00000114391;ENSG00000100316;ENSG00000185088;ENSG00000122406;ENSG00000089157;ENSG00000147403;ENSG00000142676;ENSG00000161016;ENSG00000103342;ENSG00000105640","","R-HSA-141671;R-HSA-141691;R-HSA-141673;R-HSA-6800138;R-HSA-5691512"
R-HSA-156827,"L13a-mediated translational silencing of Ceruloplasmin expression",97,120,0.007677543186180422,1.1548225766793392E-23,3.4529195042712245E-21,3,3,2.0E-4,-2.0,9606,Homo sapiens,"ENSG00000108107;ENSG00000213741;ENSG00000110700;ENSG00000114867;ENSG00000142937;ENSG00000177600;ENSG00000171863;ENSG00000163682;ENSG00000142541;ENSG00000197728;ENSG00000171858;ENSG00000170889;ENSG00000105193;ENSG00000109475;ENSG00000167526;ENSG00000106682;ENSG00000070756;ENSG00000147677;ENSG00000125691;ENSG00000178982;ENSG00000138326;ENSG00000134001;ENSG00000115268;ENSG00000136942;ENSG00000156976;ENSG00000151247;ENSG00000197958;ENSG00000168028;ENSG00000149806;ENSG00000233927;ENSG00000144713;ENSG00000137154;ENSG00000125977;ENSG00000166441;ENSG00000221983;ENSG00000231500;ENSG00000063046;ENSG00000143947;ENSG00000108298;ENSG00000162244;ENSG00000164587;ENSG00000104131;ENSG00000122026;ENSG00000175390;ENSG00000142534;ENSG00000149273;ENSG00000182899;ENSG00000198242;ENSG00000131469;ENSG00000130811;ENSG00000145592;ENSG00000134419;ENSG00000112306;ENSG00000104408;ENSG00000197756;ENSG00000130255;ENSG00000229117;ENSG00000174748;ENSG00000100129;ENSG00000089009;ENSG00000140988;ENSG00000063177;ENSG00000156482;ENSG00000106263;ENSG00000172809;ENSG00000105372;ENSG00000148303;ENSG00000188846;ENSG00000130741;ENSG00000137818;ENSG00000149100;ENSG00000198034;ENSG00000118181;ENSG00000008988;ENSG00000174444;ENSG00000083845;ENSG00000198755;ENSG00000173674;ENSG00000177954;ENSG00000071082;ENSG00000170315;ENSG00000145425;ENSG00000084623;ENSG00000147604;ENSG00000114391;ENSG00000100316;ENSG00000185088;ENSG00000122406;ENSG00000107581;ENSG00000089157;ENSG00000147403;ENSG00000100353;ENSG00000142676;ENSG00000161016;ENSG00000105640","","R-HSA-156832;R-HSA-156823;R-HSA-156826"
R-HSA-72706,"GTP hydrolysis and joining of the 60S ribosomal subunit",98,120,0.007677543186180422,1.931557260473116E-23,4.8528401679294986E-21,3,3,2.0E-4,-2.0,9606,Homo sapiens,"ENSG00000108107;ENSG00000213741;ENSG00000142937;ENSG00000110700;ENSG00000114867;ENSG00000177600;ENSG00000171863;ENSG00000163682;ENSG00000142541;ENSG00000197728;ENSG00000171858;ENSG00000170889;ENSG00000100664;ENSG00000105193;ENSG00000109475;ENSG00000167526;ENSG00000106682;ENSG00000147677;ENSG00000125691;ENSG00000178982;ENSG00000138326;ENSG00000134001;ENSG00000115268;ENSG00000136942;ENSG00000156976;ENSG00000151247;ENSG00000197958;ENSG00000233927;ENSG00000168028;ENSG00000149806;ENSG00000144713;ENSG00000137154;ENSG00000125977;ENSG00000166441;ENSG00000231500;ENSG00000221983;ENSG00000063046;ENSG00000143947;ENSG00000108298;ENSG00000162244;ENSG00000164587;ENSG00000122026;ENSG00000175390;ENSG00000142534;ENSG00000104131;ENSG00000149273;ENSG00000182899;ENSG00000198242;ENSG00000131469;ENSG00000130811;ENSG00000145592;ENSG00000134419;ENSG00000112306;ENSG00000104408;ENSG00000197756;ENSG00000130255;ENSG00000229117;ENSG00000174748;ENSG00000100129;ENSG00000089009;ENSG00000156482;ENSG00000140988;ENSG00000063177;ENSG00000106263;ENSG00000172809;ENSG00000105372;ENSG00000148303;ENSG00000188846;ENSG00000130741;ENSG00000137818;ENSG00000158417;ENSG00000149100;ENSG00000198034;ENSG00000118181;ENSG00000008988;ENSG00000174444;ENSG00000083845;ENSG00000198755;ENSG00000173674;ENSG00000177954;ENSG00000071082;ENSG00000145425;ENSG00000170315;ENSG00000084623;ENSG00000147604;ENSG00000114391;ENSG00000185088;ENSG00000100316;ENSG00000122406;ENSG00000107581;ENSG00000089157;ENSG00000147403;ENSG00000100353;ENSG00000142676;ENSG00000161016;ENSG00000105640","","R-HSA-72672;R-HSA-72619;R-HSA-72671"
R-HSA-9633012,"Response of EIF2AK4 (GCN2) to amino acid deficiency",84,115,0.007357645553422905,2.1640312900465993E-23,4.8528401679294986E-21,16,16,0.0010666666666666667,-2.0,9606,Homo sapiens,"ENSG00000108107;ENSG00000213741;ENSG00000110700;ENSG00000142937;ENSG00000128272;ENSG00000177600;ENSG00000171863;ENSG00000163682;ENSG00000142541;ENSG00000197728;ENSG00000171858;ENSG00000170889;ENSG00000105193;ENSG00000109475;ENSG00000167526;ENSG00000125691;ENSG00000138326;ENSG00000134001;ENSG00000115268;ENSG00000136942;ENSG00000197958;ENSG00000168028;ENSG00000149806;ENSG00000233927;ENSG00000144713;ENSG00000137154;ENSG00000125977;ENSG00000166441;ENSG00000221983;ENSG00000231500;ENSG00000143947;ENSG00000108298;ENSG00000162244;ENSG00000164587;ENSG00000122026;ENSG00000142534;ENSG00000149273;ENSG00000182899;ENSG00000198242;ENSG00000131469;ENSG00000145592;ENSG00000134419;ENSG00000112306;ENSG00000197756;ENSG00000130255;ENSG00000229117;ENSG00000174748;ENSG00000089009;ENSG00000140988;ENSG00000063177;ENSG00000156482;ENSG00000172809;ENSG00000105372;ENSG00000148303;ENSG00000188846;ENSG00000130741;ENSG00000137818;ENSG00000198034;ENSG00000118181;ENSG00000115966;ENSG00000008988;ENSG00000174444;ENSG00000083845;ENSG00000198755;ENSG00000177954;ENSG00000071082;ENSG00000170315;ENSG00000145425;ENSG00000147604;ENSG00000114391;ENSG00000100316;ENSG00000185088;ENSG00000128829;ENSG00000122406;ENSG00000089157;ENSG00000089154;ENSG00000147403;ENSG00000142676;ENSG00000070669;ENSG00000161016;ENSG00000105640","","R-HSA-9633008;R-HSA-9635927;R-HSA-9635892;R-HSA-381128;R-HSA-9644926;R-HSA-9635804;R-HSA-9650722;R-HSA-9635936;R-HSA-1791118;R-HSA-9635915;R-HSA-9635912;R-HSA-9633742;R-HSA-9635918;R-HSA-9634669;R-HSA-1791173;R-HSA-9633005"
R-HSA-2408522,"Selenoamino acid metabolism",90,180,0.011516314779270634,5.414316643178397E-23,1.0792537842068938E-20,10,33,0.0022,-2.0,9606,Homo sapiens,"ENSG00000108107;ENSG00000213741;ENSG00000133706;ENSG00000110700;ENSG00000142937;ENSG00000177600;ENSG00000171863;ENSG00000163682;ENSG00000142541;ENSG00000197728;ENSG00000171858;ENSG00000170889;ENSG00000105193;ENSG00000109475;ENSG00000167526;ENSG00000125691;ENSG00000136628;ENSG00000138326;ENSG00000115866;ENSG00000138801;ENSG00000113643;ENSG00000115268;ENSG00000136942;ENSG00000065427;ENSG00000197958;ENSG00000168028;ENSG00000164022;ENSG00000149806;ENSG00000233927;ENSG00000144713;ENSG00000137154;ENSG00000166441;ENSG00000221983;ENSG00000231500;ENSG00000143947;ENSG00000108298;ENSG00000162244;ENSG00000164587;ENSG00000122026;ENSG00000142534;ENSG00000149273;ENSG00000182899;ENSG00000198242;ENSG00000198682;ENSG00000131469;ENSG00000104687;ENSG00000145592;ENSG00000134419;ENSG00000112306;ENSG00000172053;ENSG00000197756;ENSG00000196305;ENSG00000130255;ENSG00000229117;ENSG00000174748;ENSG00000089009;ENSG00000140988;ENSG00000063177;ENSG00000156482;ENSG00000172809;ENSG00000105372;ENSG00000148303;ENSG00000188846;ENSG00000137818;ENSG00000198431;ENSG00000198034;ENSG00000118181;ENSG00000008988;ENSG00000174444;ENSG00000083845;ENSG00000198755;ENSG00000177954;ENSG00000071082;ENSG00000170315;ENSG00000145425;ENSG00000147604;ENSG00000114391;ENSG00000100316;ENSG00000185088;ENSG00000122406;ENSG00000187742;ENSG00000089157;ENSG00000166986;ENSG00000147403;ENSG00000031698;ENSG00000142676;ENSG00000161016;ENSG00000105640","","R-HSA-5263616;R-HSA-2408529;R-HSA-2408546;R-HSA-2408540;R-HSA-2408525;R-HSA-2408558;R-HSA-2408542;R-HSA-2408526;R-HSA-5333615;R-HSA-5263614"
R-HSA-72613,"Eukaryotic Translation Initiation",104,130,0.008317338451695458,7.265377305275878E-23,1.1849169896059024E-20,21,21,0.0014,-2.0,9606,Homo sapiens,"ENSG00000108107;ENSG00000142937;ENSG00000110700;ENSG00000114867;ENSG00000142541;ENSG00000105193;ENSG00000106682;ENSG00000147677;ENSG00000178982;ENSG00000138326;ENSG00000134001;ENSG00000115268;ENSG00000136942;ENSG00000151247;ENSG00000168028;ENSG00000144713;ENSG00000221983;ENSG00000108298;ENSG00000164587;ENSG00000122026;ENSG00000142534;ENSG00000104131;ENSG00000149273;ENSG00000198242;ENSG00000070785;ENSG00000131469;ENSG00000145191;ENSG00000130811;ENSG00000145592;ENSG00000115211;ENSG00000130255;ENSG00000229117;ENSG00000100129;ENSG00000156482;ENSG00000140988;ENSG00000063177;ENSG00000172809;ENSG00000105372;ENSG00000188846;ENSG00000158417;ENSG00000174444;ENSG00000083845;ENSG00000198755;ENSG00000111361;ENSG00000177954;ENSG00000071082;ENSG00000122406;ENSG00000089157;ENSG00000147403;ENSG00000100353;ENSG00000161016;ENSG00000105640;ENSG00000213741;ENSG00000177600;ENSG00000171863;ENSG00000163682;ENSG00000197728;ENSG00000171858;ENSG00000170889;ENSG00000100664;ENSG00000109475;ENSG00000167526;ENSG00000070756;ENSG00000125691;ENSG00000156976;ENSG00000197958;ENSG00000233927;ENSG00000149806;ENSG00000137154;ENSG00000125977;ENSG00000166441;ENSG00000231500;ENSG00000063046;ENSG00000143947;ENSG00000162244;ENSG00000175390;ENSG00000182899;ENSG00000134419;ENSG00000112306;ENSG00000104408;ENSG00000197756;ENSG00000174748;ENSG00000089009;ENSG00000106263;ENSG00000148303;ENSG00000130741;ENSG00000137818;ENSG00000149100;ENSG00000198034;ENSG00000118181;ENSG00000008988;ENSG00000173674;ENSG00000145425;ENSG00000170315;ENSG00000084623;ENSG00000147604;ENSG00000114391;ENSG00000185088;ENSG00000100316;ENSG00000119718;ENSG00000107581;ENSG00000142676","","R-HSA-72673;R-HSA-72672;R-HSA-156832;R-HSA-72676;R-HSA-72647;R-HSA-72619;R-HSA-156808;R-HSA-72621;R-HSA-72622;R-HSA-72691;R-HSA-72722;R-HSA-156823;R-HSA-72663;R-HSA-72631;R-HSA-72697;R-HSA-156826;R-HSA-72635;R-HSA-157849;R-HSA-72669;R-HSA-72671;R-HSA-72670"
