Pathway identifier,Pathway name,#Entities found,#Entities total,Entities ratio,Entities pValue,Entities FDR,#Reactions found,#Reactions total,Reactions ratio,Control_S4_counts,Species identifier,Species name,Submitted entities found,Mapped entities,Found reaction identifiers
R-HSA-983189,"Kinesins",17,68,0.004350607805502239,0.004843699988199975,0.08103172737822219,8,14,9.333333333333333E-4,1.0,9606,Homo sapiens,"ENSG00000101162;ENSG00000075945;ENSG00000068796;ENSG00000197892;ENSG00000138778;ENSG00000084731;ENSG00000167553;ENSG00000138182;ENSG00000167552;ENSG00000170759;ENSG00000123416;ENSG00000054523;ENSG00000188229;ENSG00000127824;ENSG00000079616;ENSG00000223519","","R-HSA-984671;R-HSA-984733;R-HSA-983259;R-HSA-983194;R-HSA-990489;R-HSA-984708;R-HSA-983266;R-HSA-984689"
R-HSA-6811442,"Intra-Golgi and retrograde Golgi-to-ER traffic",107,219,0.01401151631477927,0.004877319770797967,0.08103172737822219,43,48,0.0032,1.0,9606,Homo sapiens,"ENSG00000135968;ENSG00000175582;ENSG00000105355;ENSG00000115839;ENSG00000099940;ENSG00000103051;ENSG00000197892;ENSG00000137502;ENSG00000151779;ENSG00000116489;ENSG00000135720;ENSG00000084731;ENSG00000086598;ENSG00000154917;ENSG00000137100;ENSG00000257923;ENSG00000158560;ENSG00000168374;ENSG00000135040;ENSG00000183011;ENSG00000054523;ENSG00000127824;ENSG00000168818;ENSG00000108587;ENSG00000223519;ENSG00000148248;ENSG00000125814;ENSG00000152291;ENSG00000100055;ENSG00000144674;ENSG00000197081;ENSG00000135823;ENSG00000141429;ENSG00000136631;ENSG00000138778;ENSG00000099246;ENSG00000170348;ENSG00000164597;ENSG00000131236;ENSG00000101162;ENSG00000105402;ENSG00000066455;ENSG00000111885;ENSG00000111481;ENSG00000143207;ENSG00000088986;ENSG00000170759;ENSG00000173905;ENSG00000136240;ENSG00000185963;ENSG00000149823;ENSG00000108669;ENSG00000131966;ENSG00000105438;ENSG00000049245;ENSG00000004059;ENSG00000129083;ENSG00000133103;ENSG00000117533;ENSG00000118873;ENSG00000122218;ENSG00000143952;ENSG00000007168;ENSG00000188229;ENSG00000160216;ENSG00000166557;ENSG00000075945;ENSG00000095139;ENSG00000105669;ENSG00000116711;ENSG00000198898;ENSG00000135775;ENSG00000166685;ENSG00000100815;ENSG00000144635;ENSG00000079616;ENSG00000181789;ENSG00000198162;ENSG00000132912;ENSG00000242247;ENSG00000175203;ENSG00000196547;ENSG00000144747;ENSG00000184840;ENSG00000073969;ENSG00000105443;ENSG00000077549;ENSG00000149182;ENSG00000068796;ENSG00000197102;ENSG00000134265;ENSG00000138107;ENSG00000003056;ENSG00000104915;ENSG00000138069;ENSG00000112893;ENSG00000077380;ENSG00000204843;ENSG00000167553;ENSG00000138182;ENSG00000167552;ENSG00000123416;ENSG00000223501;ENSG00000184432;ENSG00000101246;ENSG00000143761;ENSG00000107862;ENSG00000143641","","R-HSA-6811431;R-HSA-8849350;R-HSA-6811429;R-HSA-8849348;R-HSA-6811428;R-HSA-6811427;R-HSA-8847875;R-HSA-6811426;R-HSA-6811425;R-HSA-8849345;R-HSA-8847883;R-HSA-8849353;R-HSA-6811433;R-HSA-8847880;R-HSA-8847638;R-HSA-8847637;R-HSA-8849748;R-HSA-8847635;R-HSA-6814086;R-HSA-8848484;R-HSA-6814671;R-HSA-6814670;R-HSA-6814091;R-HSA-6814090;R-HSA-6814088;R-HSA-6811415;R-HSA-6811414;R-HSA-6814678;R-HSA-6811412;R-HSA-6814676;R-HSA-6811411;R-HSA-6814675;R-HSA-6814674;R-HSA-6811423;R-HSA-6811422;R-HSA-6814684;R-HSA-6814683;R-HSA-6811418;R-HSA-6814682;R-HSA-6811417;R-HSA-8850041;R-HSA-8847544;R-HSA-8850040"
R-HSA-1474228,"Degradation of the extracellular matrix",27,148,0.00946896992962252,0.004878164189993309,0.08103172737822219,41,105,0.007,1.0,9606,Homo sapiens,"ENSG00000172270;ENSG00000153113;ENSG00000151694;ENSG00000026508;ENSG00000137845;ENSG00000162909;ENSG00000116962;ENSG00000151651;ENSG00000137225;ENSG00000135862;ENSG00000143537;ENSG00000168615;ENSG00000102265;ENSG00000164733;ENSG00000140564;ENSG00000162736;ENSG00000196611;ENSG00000131375;ENSG00000080815;ENSG00000117984;ENSG00000163131;ENSG00000175309;ENSG00000163359;ENSG00000164305;ENSG00000126247;ENSG00000014216","","R-HSA-1474197;R-HSA-1564179;R-HSA-3791295;R-HSA-1564112;R-HSA-2471842;R-HSA-1604690;R-HSA-1602454;R-HSA-4224014;R-HSA-5696408;R-HSA-1564120;R-HSA-1454791;R-HSA-1566981;R-HSA-2534260;R-HSA-3791149;R-HSA-2533874;R-HSA-2172405;R-HSA-8848658;R-HSA-1592270;R-HSA-2534206;R-HSA-375135;R-HSA-1564169;R-HSA-1604359;R-HSA-2471621;R-HSA-2168960;R-HSA-1592316;R-HSA-3788061;R-HSA-1454781;R-HSA-2533965;R-HSA-1592436;R-HSA-1602484;R-HSA-3791319;R-HSA-1454822;R-HSA-1592297;R-HSA-1602473;R-HSA-1474213;R-HSA-1454757;R-HSA-2533970;R-HSA-2534160;R-HSA-1564143;R-HSA-2168923;R-HSA-1602466"
R-HSA-456926,"Thrombin signalling through proteinase activated receptors (PARs)",14,36,0.0023032629558541267,0.004963359679701625,0.081165767279866,15,16,0.0010666666666666667,1.0,9606,Homo sapiens,"ENSG00000100030;ENSG00000181104;ENSG00000197122;ENSG00000174021;ENSG00000172354;ENSG00000069966;ENSG00000137486;ENSG00000060558;ENSG00000141480;ENSG00000078369;ENSG00000156052;ENSG00000127920;ENSG00000120063;ENSG00000146535","","R-HSA-396996;R-HSA-397891;R-HSA-418176;R-HSA-418158;R-HSA-396941;R-HSA-418091;R-HSA-397835;R-HSA-9708859;R-HSA-418163;R-HSA-9708866;R-HSA-114552;R-HSA-418172;R-HSA-418170;R-HSA-418200;R-HSA-114558"
R-HSA-1474244,"Extracellular matrix organization",69,328,0.020985284708893156,0.0049767192869483055,0.081165767279866,163,319,0.021266666666666666,1.0,9606,Homo sapiens,"ENSG00000172270;ENSG00000153113;ENSG00000151694;ENSG00000108622;ENSG00000049323;ENSG00000115318;ENSG00000076662;ENSG00000172037;ENSG00000164171;ENSG00000162909;ENSG00000116962;ENSG00000151651;ENSG00000137225;ENSG00000115232;ENSG00000166794;ENSG00000168056;ENSG00000083444;ENSG00000160255;ENSG00000090006;ENSG00000168615;ENSG00000106366;ENSG00000164733;ENSG00000140564;ENSG00000177697;ENSG00000105426;ENSG00000072110;ENSG00000131375;ENSG00000163131;ENSG00000038427;ENSG00000091409;ENSG00000082781;ENSG00000175309;ENSG00000166086;ENSG00000164305;ENSG00000140678;ENSG00000106397;ENSG00000185624;ENSG00000161638;ENSG00000026508;ENSG00000170275;ENSG00000139626;ENSG00000005844;ENSG00000137801;ENSG00000137845;ENSG00000005961;ENSG00000135862;ENSG00000143537;ENSG00000087303;ENSG00000102265;ENSG00000197461;ENSG00000162736;ENSG00000150093;ENSG00000110799;ENSG00000105329;ENSG00000142192;ENSG00000196611;ENSG00000196776;ENSG00000196655;ENSG00000152952;ENSG00000080815;ENSG00000117984;ENSG00000113140;ENSG00000169896;ENSG00000117385;ENSG00000083457;ENSG00000163359;ENSG00000126247;ENSG00000014216","","R-HSA-2473511;R-HSA-2002460;R-HSA-216064;R-HSA-1564179;R-HSA-216069;R-HSA-216068;R-HSA-216072;R-HSA-216076;R-HSA-2426676;R-HSA-216082;R-HSA-1566981;R-HSA-3791149;R-HSA-2534206;R-HSA-1564169;R-HSA-198941;R-HSA-1604359;R-HSA-2466106;R-HSA-3788061;R-HSA-4084507;R-HSA-4084505;R-HSA-2534160;R-HSA-8941234;R-HSA-2002466;R-HSA-2426471;R-HSA-2327909;R-HSA-2467436;R-HSA-1604690;R-HSA-4086132;R-HSA-4224014;R-HSA-2534260;R-HSA-2752125;R-HSA-1980233;R-HSA-2396029;R-HSA-375135;R-HSA-2752115;R-HSA-2752118;R-HSA-2731081;R-HSA-1650808;R-HSA-4085087;R-HSA-2328129;R-HSA-2681675;R-HSA-1614460;R-HSA-4085083;R-HSA-1614461;R-HSA-2213192;R-HSA-2731074;R-HSA-2681667;R-HSA-2533965;R-HSA-1592436;R-HSA-2327886;R-HSA-2467659;R-HSA-2731078;R-HSA-2213200;R-HSA-2328145;R-HSA-8948219;R-HSA-2533970;R-HSA-2467665;R-HSA-2213207;R-HSA-8948222;R-HSA-2426450;R-HSA-2168923;R-HSA-199032;R-HSA-2465883;R-HSA-8948232;R-HSA-114560;R-HSA-114563;R-HSA-8948234;R-HSA-1474197;R-HSA-3791295;R-HSA-2426530;R-HSA-2471842;R-HSA-8948224;R-HSA-199050;R-HSA-8948226;R-HSA-2396079;R-HSA-8948228;R-HSA-1602454;R-HSA-4084912;R-HSA-8948230;R-HSA-8948231;R-HSA-4084910;R-HSA-204434;R-HSA-2424246;R-HSA-8848658;R-HSA-2396337;R-HSA-2396083;R-HSA-2424243;R-HSA-4084903;R-HSA-2395320;R-HSA-349593;R-HSA-2168960;R-HSA-4088220;R-HSA-2731149;R-HSA-349603;R-HSA-2022073;R-HSA-1454781;R-HSA-2327695;R-HSA-1602484;R-HSA-1981104;R-HSA-1602473;R-HSA-1474213;R-HSA-1454757;R-HSA-4085133;R-HSA-2426259;R-HSA-1602466;R-HSA-2470555;R-HSA-349626;R-HSA-2484965;R-HSA-2395364;R-HSA-2328033;R-HSA-2328037;R-HSA-4539779;R-HSA-1564112;R-HSA-2750177;R-HSA-265422;R-HSA-5696408;R-HSA-1564120;R-HSA-265428;R-HSA-265429;R-HSA-202706;R-HSA-1454791;R-HSA-202704;R-HSA-265424;R-HSA-2533874;R-HSA-2172405;R-HSA-265425;R-HSA-1592270;R-HSA-1981128;R-HSA-2426355;R-HSA-2327803;R-HSA-202718;R-HSA-1981120;R-HSA-202723;R-HSA-2471621;R-HSA-2327746;R-HSA-2022141;R-HSA-1592316;R-HSA-202727;R-HSA-2395328;R-HSA-3907292;R-HSA-216043;R-HSA-2395340;R-HSA-216040;R-HSA-2089971;R-HSA-2129357;R-HSA-216045;R-HSA-3791319;R-HSA-9679740;R-HSA-1454822;R-HSA-216051;R-HSA-1592297;R-HSA-216050;R-HSA-4086223;R-HSA-216048;R-HSA-4088264;R-HSA-4086216;R-HSA-1564143;R-HSA-2396124;R-HSA-216058;R-HSA-1981157;R-HSA-216061;R-HSA-8944247;R-HSA-2129375"
R-HSA-8866652,"Synthesis of active ubiquitin: roles of E1 and E2 enzymes",23,33,0.002111324376199616,0.005078755455426059,0.08137932130977953,16,16,0.0010666666666666667,1.0,9606,Homo sapiens,"ENSG00000072401;ENSG00000175063;ENSG00000130985;ENSG00000099804;ENSG00000111667;ENSG00000077721;ENSG00000170035;ENSG00000159202;ENSG00000150991;ENSG00000119048;ENSG00000132388;ENSG00000033178;ENSG00000078140;ENSG00000170315;ENSG00000186591;ENSG00000185651;ENSG00000221983;ENSG00000143947;ENSG00000131508;ENSG00000187555;ENSG00000107341;ENSG00000140367;ENSG00000124486","","R-HSA-8852134;R-HSA-8852133;R-HSA-8852132;R-HSA-8852131;R-HSA-8852130;R-HSA-8865090;R-HSA-8852129;R-HSA-8852128;R-HSA-8853515;R-HSA-8865098;R-HSA-8853514;R-HSA-8852136;R-HSA-8852127;R-HSA-8853503;R-HSA-8865050;R-HSA-8853529"
R-HSA-112315,"Transmission across Chemical Synapses",67,344,0.02200895713371721,0.005080537339295043,0.08137932130977953,103,167,0.011133333333333334,1.0,9606,Homo sapiens,"ENSG00000121281;ENSG00000133703;ENSG00000065135;ENSG00000108946;ENSG00000196961;ENSG00000120903;ENSG00000198668;ENSG00000172354;ENSG00000136854;ENSG00000111275;ENSG00000102606;ENSG00000182481;ENSG00000138031;ENSG00000160014;ENSG00000188229;ENSG00000127824;ENSG00000108262;ENSG00000106089;ENSG00000197122;ENSG00000110931;ENSG00000174021;ENSG00000172915;ENSG00000183044;ENSG00000078369;ENSG00000108576;ENSG00000154146;ENSG00000177189;ENSG00000075711;ENSG00000156642;ENSG00000115419;ENSG00000131626;ENSG00000042753;ENSG00000135821;ENSG00000136238;ENSG00000132356;ENSG00000117676;ENSG00000005249;ENSG00000137841;ENSG00000111371;ENSG00000144746;ENSG00000143933;ENSG00000134294;ENSG00000213281;ENSG00000127920;ENSG00000165646;ENSG00000109971;ENSG00000073969;ENSG00000161203;ENSG00000101162;ENSG00000100030;ENSG00000093010;ENSG00000135679;ENSG00000118260;ENSG00000138744;ENSG00000106617;ENSG00000188191;ENSG00000131791;ENSG00000069966;ENSG00000006125;ENSG00000114353;ENSG00000145349;ENSG00000167553;ENSG00000167552;ENSG00000123416;ENSG00000181929;ENSG00000166501;ENSG00000142875;ENSG00000183943","","R-HSA-9618834;R-HSA-888589;R-HSA-9619355;R-HSA-392206;R-HSA-9679775;R-HSA-9610653;R-HSA-9619843;R-HSA-9610627;R-HSA-438037;R-HSA-1013020;R-HSA-1013013;R-HSA-1013012;R-HSA-372505;R-HSA-9619376;R-HSA-432164;R-HSA-432162;R-HSA-9619127;R-HSA-9619125;R-HSA-8951727;R-HSA-111913;R-HSA-111912;R-HSA-111915;R-HSA-432172;R-HSA-111919;R-HSA-372529;R-HSA-111925;R-HSA-9619367;R-HSA-111924;R-HSA-9610408;R-HSA-372542;R-HSA-9617326;R-HSA-9617583;R-HSA-9618863;R-HSA-416320;R-HSA-9673173;R-HSA-379464;R-HSA-6803753;R-HSA-629595;R-HSA-629596;R-HSA-629599;R-HSA-442715;R-HSA-442724;R-HSA-442725;R-HSA-442732;R-HSA-9619449;R-HSA-444008;R-HSA-9619430;R-HSA-442739;R-HSA-374899;R-HSA-416639;R-HSA-916855;R-HSA-442749;R-HSA-9714415;R-HSA-444792;R-HSA-9619478;R-HSA-9611030;R-HSA-212614;R-HSA-421007;R-HSA-442760;R-HSA-374922;R-HSA-9619467;R-HSA-380574;R-HSA-112282;R-HSA-9619214;R-HSA-212642;R-HSA-9612085;R-HSA-170666;R-HSA-9619515;R-HSA-9618750;R-HSA-170671;R-HSA-380586;R-HSA-170674;R-HSA-445367;R-HSA-9029434;R-HSA-9620004;R-HSA-170686;R-HSA-380869;R-HSA-9619542;R-HSA-380608;R-HSA-8856398;R-HSA-9619803;R-HSA-70606;R-HSA-70609;R-HSA-9619783;R-HSA-451283;R-HSA-416985;R-HSA-380901;R-HSA-210404;R-HSA-9618811;R-HSA-451311;R-HSA-9668218;R-HSA-500717;R-HSA-380905;R-HSA-9617535;R-HSA-9610879;R-HSA-9618785;R-HSA-210426;R-HSA-9611368;R-HSA-9614185;R-HSA-210430;R-HSA-379387;R-HSA-917744;R-HSA-622326"
R-HSA-5620924,"Intraflagellar transport",21,56,0.003582853486884197,0.005296054880456735,0.08408072969503878,12,12,8.0E-4,1.0,9606,Homo sapiens,"ENSG00000101052;ENSG00000101162;ENSG00000075945;ENSG00000096872;ENSG00000126870;ENSG00000163913;ENSG00000114446;ENSG00000084731;ENSG00000100815;ENSG00000081870;ENSG00000123607;ENSG00000167553;ENSG00000088986;ENSG00000167552;ENSG00000123416;ENSG00000083312;ENSG00000188229;ENSG00000127824;ENSG00000032742;ENSG00000122970;ENSG00000125971","","R-HSA-5624949;R-HSA-5617829;R-HSA-5624948;R-HSA-5617828;R-HSA-5624951;R-HSA-5617825;R-HSA-5625424;R-HSA-5625426;R-HSA-5625421;R-HSA-5617820;R-HSA-5624952;R-HSA-5625416"
R-HSA-418885,"DCC mediated attractive signaling",7,19,0.001215611004478567,0.005588445241861341,0.0879444803850811,10,12,8.0E-4,1.0,9606,Homo sapiens,"ENSG00000099204;ENSG00000197122;ENSG00000173210;ENSG00000169398;ENSG00000010810;ENSG00000070831;ENSG00000136238","","R-HSA-373716;R-HSA-418868;R-HSA-418850;R-HSA-418865;R-HSA-374701;R-HSA-418874;R-HSA-418858;R-HSA-373720;R-HSA-418856;R-HSA-418872"
R-HSA-159234,"Transport of Mature mRNAs Derived from Intronless Transcripts",32,47,0.0030070377479206652,0.005955067934143691,0.09289905977264158,9,9,6.0E-4,-1.0,9606,Homo sapiens,"ENSG00000093000;ENSG00000071894;ENSG00000136937;ENSG00000119203;ENSG00000145216;ENSG00000162231;ENSG00000138750;ENSG00000102900;ENSG00000095319;ENSG00000110713;ENSG00000108559;ENSG00000153201;ENSG00000125450;ENSG00000069248;ENSG00000136709;ENSG00000155561;ENSG00000047410;ENSG00000113569;ENSG00000111581;ENSG00000151247;ENSG00000030066;ENSG00000157020;ENSG00000132182;ENSG00000165934;ENSG00000183684;ENSG00000101146;ENSG00000125755;ENSG00000126883;ENSG00000163950;ENSG00000094914","","R-HSA-77587;R-HSA-158481;R-HSA-159046;R-HSA-158484;R-HSA-159050;R-HSA-158441;R-HSA-77594;R-HSA-158447;R-HSA-111439"
