gene,drug_name,dataset,cancer_type,correlation,pvalue,n_cell_line
SLC25A20,N25720-51-A1,All,ovary,-0.241739,0.255106,24
SLC25A20,Parthenolide,All,ovary,-0.476815,0.00106689,44
SLC25A20,cytarabine hydrochloride,All,ovary,-0.293796,0.0734019,38
SLC25A20,BRD-K13185470,All,ovary,0.551515,0.0984012,10
SLC25A20,VX-11e,All,ovary,0.252217,0.186854,29
SLC25A20,AZD4877,All,ovary,-0.28243,0.145343,28
SLC25A20,fumagillol,All,ovary,0.249915,0.218211,26
SLC25A20,mitomycin,All,ovary,-0.292278,0.0603458,42
SLC25A20,BRD-K35604418,All,ovary,-0.274696,0.0905706,39
SLC25A20,QL-X-138,All,ovary,0.451013,0.0160041,28
SLC25A20,BRD-K24690302,All,ovary,-0.296154,0.067158,39
SLC25A20,ZD-6474,All,ovary,-0.379221,0.0899996,21
SLC25A20,brivanib,All,ovary,-0.257287,0.113825,39
SLC25A20,BRD-K71935468,All,ovary,0.458584,0.00378382,38
SLC25A20,Doxorubicin,All,ovary,-0.245998,0.111806,43
SLC25A20,SMER-3,All,ovary,-0.401802,0.015137,36
SLC25A20,TAF1_5496,All,ovary,-0.488312,0.0247075,21
SLC25A20,PLX-4032,All,ovary,-0.312397,0.0561956,38
SLC25A20,PD173074,All,ovary,0.273892,0.15051,29
SLC25A20,VE821,All,ovary,0.23202,0.225851,29
SLC25A20,pyrazolanthrone,All,ovary,-0.23664,0.14694,39
SLC25A20,BDF00022089a,All,ovary,-0.280519,0.21806,21
SLC25A20,Ara-G,All,ovary,-0.276847,0.145979,29
SLC25A20,MLN2238,All,ovary,0.245869,0.136762,38
SLC25A20,968,All,ovary,0.369697,0.29305,10
SLC25A20,BRD-K44224150,All,ovary,0.709091,0.0216659,10
SLC25A20,CDK9_5038,All,ovary,-0.251948,0.270563,21
SLC25A20,BRD-K41334119,All,ovary,0.357576,0.310376,10
SLC25A20,RAF_9304,All,ovary,-0.266557,0.170332,28
SLC25A20,tanespimycin:bortezomib (250:1 mol-mol),All,ovary,-0.288546,0.0878798,36
SLC25A20,DBeQ,All,ovary,-0.258781,0.116694,38
SLC25A20,zileuton,All,ovary,0.361368,0.0697003,26
SLC25A20,AZ-3146,All,ovary,-0.336689,0.0387401,38
SLC25A20,IWP-2,All,ovary,-0.491966,0.010686,26
SLC25A20,BRD-K13999467,All,ovary,-0.268623,0.0982246,39
SLC25A20,MN-64,All,ovary,0.336522,0.107856,24
SLC25A20,FEN1_3940,All,ovary,-0.584018,0.00110277,28
SLC25A20,MPS-1-IN-1,All,ovary,0.230432,0.23812,28
SLC25A20,50869,All,ovary,-0.31039,0.170877,21
SLC25A20,Dacarbazine,All,ovary,-0.217073,0.178475,40
SLC25A20,gossypol,All,ovary,-0.309796,0.0407128,44
SLC25A20,vandetanib,All,ovary,-0.369515,0.0224167,38
SLC25A20,BRD5802,All,ovary,0.206015,0.383533,20
SLC25A20,BPD-00008900,All,ovary,0.213913,0.315527,24
SLC25A20,apicidin,All,ovary,-0.214777,0.189173,39
SLC25A20,Nutlin-3a,All,ovary,-0.344434,0.019078,46
SLC25A20,QL-XII-61,All,ovary,-0.294118,0.251844,17
SLC25A20,C6-ceramide,All,ovary,0.226113,0.166316,39
SLC25A20,Trametinib,All,ovary,0.217723,0.216105,34
SLC25A20,WZ3105,All,ovary,0.332239,0.0841059,28
SLC25A20,Alda-1,All,ovary,0.481026,0.012857,26
SLC25A20,nifedipine,All,ovary,-0.22735,0.264013,26
SLC25A20,Eg5_9814,All,ovary,-0.516883,0.0164265,21
SLC25A20,TL-1-85,All,ovary,0.320744,0.0960846,28
SLC25A20,Regorafenib,All,ovary,-0.381579,0.0165341,39
SLC25A20,KIN001-266,All,ovary,0.216749,0.267918,28
SLC25A20,BRD-A94377914,All,ovary,-0.434783,0.0337373,24
SLC25A20,CDK9_5576,All,ovary,-0.223377,0.330388,21
