ensembl_gene_id,Stage,Gene
ENSG00000145907,Stage2,G3BP1
ENSG00000213465,Stage2,ARL2
ENSG00000108854,Stage2,SMURF2
ENSG00000172543,Stage2,CTSW
ENSG00000168906,Stage2,MAT2A
ENSG00000196843,Stage2,ARID5A
ENSG00000153395,Stage2,LPCAT1
ENSG00000164024,Stage2,METAP1
ENSG00000178537,Stage2,SLC25A20
ENSG00000137752,Stage2,CASP1
ENSG00000069493,Stage2,CLEC2D
ENSG00000132405,Stage2,TBC1D14
ENSG00000073969,Stage2,NSF
ENSG00000116260,Stage2,QSOX1
ENSG00000118007,Stage2,STAG1
ENSG00000140105,Stage2,WARS
ENSG00000165609,Stage2,NUDT5
ENSG00000185909,Stage2,KLHDC8B
ENSG00000184708,Stage2,EIF4ENIF1
ENSG00000131725,Stage2,WDR44
