ensembl_gene_id,Stage
ENSG00000173598,Stage4
ENSG00000106546,Stage4
ENSG00000115828,Stage4
ENSG00000196565,Stage4
ENSG00000133742,Stage4
ENSG00000232196,Stage4
ENSG00000012223,Stage4
ENSG00000239839,Stage4
